"Subsidence","Wind","EWL","Population","Mean_CCRI","Max_CCRI","Min_CCRI"
-20,-10,-10,-15,0.519548810426034,0.63157183417252,0.433248181472096
0,-10,-10,-15,0.528883040818633,0.648974343775318,0.433248181472096
20,-10,-10,-15,0.537957890996727,0.648974343775318,0.438915934739155
-20,0,-10,-15,0.52719030868323,0.654702589926083,0.431930585188607
0,0,-10,-15,0.536516118629305,0.67196928124562,0.431930585188607
20,0,-10,-15,0.545669410118188,0.67196928124562,0.437346151341499
-20,10,-10,-15,0.536136238054752,0.65398503842376,0.453036967013426
0,10,-10,-15,0.545178367997003,0.671016458820228,0.453036967013426
20,10,-10,-15,0.5542043188335,0.671016458820228,0.458024785091621
-20,-10,0,-15,0.527477140345732,0.65190118699222,0.434424277221982
0,-10,0,-15,0.536868530325184,0.66968975037632,0.434424277221982
20,-10,0,-15,0.546165339470128,0.66968975037632,0.44023836263086
-20,0,0,-15,0.535022191129681,0.675411608137912,0.433037286281043
0,0,0,-15,0.544404023308554,0.693259744965979,0.433037286281043
20,0,0,-15,0.553786214510966,0.693259744965979,0.438657861798046
-20,10,0,-15,0.543993284361741,0.674455193911548,0.453787089532729
0,10,0,-15,0.553067128636212,0.692066866704012,0.454137917546042
20,10,0,-15,0.562316525224938,0.692066866704012,0.459334841765728
-20,-10,10,-15,0.534848724893375,0.650907850193642,0.44895676612263
0,-10,10,-15,0.544089799286821,0.668403129890594,0.44895676612263
20,-10,10,-15,0.553340908508609,0.668403129890594,0.454332286153799
-20,0,10,-15,0.542229574922431,0.673759858540828,0.447847797895071
0,0,10,-15,0.551463342079851,0.691310137121039,0.447847797895071
20,0,10,-15,0.560800740971798,0.691310137121039,0.453029808034364
-20,10,10,-15,0.551061522959805,0.672828805775803,0.459307577289958
0,10,10,-15,0.559965601166848,0.690142620320411,0.463448253336181
20,10,10,-15,0.569170583725259,0.690142620320411,0.470774673522508
-20,-10,-10,0,0.518929379241535,0.632776037243415,0.428848848125376
0,-10,-10,0,0.528228530371307,0.650190475375323,0.428848848125376
20,-10,-10,0,0.537288169536544,0.650190475375323,0.434639184526158
-20,0,-10,0,0.526627622908584,0.656341053044758,0.427579579841577
0,0,-10,0,0.535942501998734,0.673657545580905,0.427579579841577
20,0,-10,0,0.545094762116212,0.673657545580905,0.433117729128193
-20,10,-10,0,0.535542067722558,0.655520365294579,0.448753457777862
0,10,-10,0,0.544581125272349,0.672617021595767,0.448753457777862
20,10,-10,0,0.55360428894914,0.672617021595767,0.45386385898978
-20,-10,0,0,0.526946227433501,0.65378364212237,0.429948214707821
0,-10,0,0,0.536316388856231,0.671585254080004,0.429948214707821
20,-10,0,0,0.545618697404693,0.671585254080004,0.435888919430618
-20,0,0,0,0.53456404451183,0.677746085664979,0.428597931677487
0,0,0,0,0.543941648921373,0.695627620818111,0.428597931677487
20,0,0,0,0.553341813421954,0.695627620818111,0.434341361469802
-20,10,0,0,0.543508769199262,0.676677833607341,0.449783171558466
0,10,0,0,0.552584464451891,0.694338339412981,0.449783171558466
20,10,0,0,0.561850078550485,0.694338339412981,0.455102950053464
-20,-10,10,0,0.534391677815795,0.652849608025642,0.444457941994291
0,-10,10,0,0.543657984311389,0.670357936296128,0.444457941994291
20,-10,10,0,0.552910904172187,0.670357936296128,0.449960081339378
-20,0,10,0,0.541839747775038,0.676117705424332,0.443385681677336
0,0,10,0,0.551115447814134,0.693701382329608,0.443385681677336
20,0,10,0,0.560468359727621,0.693701382329608,0.448690546091941
-20,10,10,0,0.550634194650952,0.675074814828033,0.45996502092361
0,10,10,0,0.55958628448716,0.692437462385816,0.46413010839632
20,10,10,0,0.56880502427881,0.692437462385816,0.469270434496969
-20,-10,-10,15,0.517753493204581,0.62651615098597,0.428575161668859
0,-10,-10,15,0.526987098421657,0.643622537682868,0.428575161668859
20,-10,-10,15,0.536059019375897,0.643622537682868,0.434485612269052
-20,0,-10,15,0.525544582508347,0.649878386088413,0.42729725053086
0,0,-10,15,0.534795986800768,0.66687568195855,0.42729725053086
20,0,-10,15,0.543973046534557,0.66687568195855,0.432955514016887
-20,10,-10,15,0.534401594898947,0.649099706018523,0.448342767195025
0,10,-10,15,0.543375070363737,0.665877165653699,0.448342767195025
20,10,-10,15,0.552422484348168,0.665877165653699,0.453549208538687
-20,-10,0,15,0.525851997745072,0.647337201462315,0.429652518688557
0,-10,0,15,0.535166355343232,0.664846528011737,0.429652518688557
20,-10,0,15,0.544485467966902,0.664846528011737,0.435734694202477
-20,0,0,15,0.533562457513262,0.671123004062042,0.428293592804024
0,0,0,15,0.542889049297313,0.688701108575963,0.428293592804024
20,0,0,15,0.552321306429383,0.688701108575963,0.434178493387461
-20,10,0,15,0.542450890071058,0.670096759684693,0.449350471412882
0,10,0,15,0.551471777486069,0.68745383485112,0.449350471412882
20,10,0,15,0.560767155191507,0.68745383485112,0.454766290039623
-20,-10,10,15,0.533267729225289,0.646364757696406,0.444309947588508
0,-10,10,15,0.542504086009356,0.66358695962297,0.444309947588508
20,-10,10,15,0.551774114946252,0.66358695962297,0.449953557724718
-20,0,10,15,0.540790050834456,0.669338462608905,0.443229044417354
0,0,10,15,0.550040592361104,0.68662486793926,0.443229044417354
20,0,10,15,0.559424441662306,0.68662486793926,0.448675379623081
-20,10,10,15,0.549526915205575,0.668337579692894,0.45996502092361
0,10,10,15,0.558450051317208,0.685402955675756,0.46392069856271
20,10,10,15,0.567697560325687,0.685402955675756,0.468985204562141
