"model","R2","adj_R2","AIC","BIC","F_test_p_value"
"Baseline (Subsidence+Pop+Elev+SST)",0.988000156350724,0.981143102836851,47.5382069466441,50.4476468453721,NA
"Extended (+ Rainfall + RiverDischarge)",0.997512975558346,0.994528546228361,32.6525274113972,36.5317806097012,0.0196
