"term","Estimate","Std. Error","t value","Pr(>|t|)","adj_r_squared"
"(Intercept)",4.29904947843014,7.98650770774311,0.538289028915869,0.607061194456979,0.981143102836851
"Subsidence",2.27631114415412,0.362021735014513,6.28777480463393,0.000408952850821499,0.981143102836851
"Population",0.000879143272023095,0.00122391705698484,0.718302982220783,0.495839862414764,0.981143102836851
"Elevation",-1.47875893544038,1.11001179862219,-1.33220109666933,0.224528261130817,0.981143102836851
"SST",3.60656782991871,6.24619500307216,0.577402375069116,0.581754926700259,0.981143102836851
