"year","actual","predicted","residual"
2015,55.4856621862831,55.8278761746418,-0.342213988358694
2016,57.0219443025586,57.0384760355904,-0.0165317330317336
2017,58.469887528214,58.2490758965389,0.220811631675033
2018,59.2057134906989,59.4596757574875,-0.253962266788633
2019,60.6377377841681,60.6702756184361,-0.0325378342680267
2020,61.5721967236334,61.8808754793847,-0.30867875575133
2021,62.9878869258471,63.0914753403333,-0.103588414486168
2022,64.3790914669601,64.3020752012819,0.0770162656782674
2023,65.3564361524101,65.5126750622304,-0.156238909820317
2024,66.8570604814613,66.723274923179,0.133785558282327
