"district","lon","lat","year","scenario","subsidence_mm_yr","district_relative_slr_cm","risk_class","modified_subsidence","modified_slr","variation"
"Khulna",89.55,22.82,2075,"SSP2-4.5",15.2,114,"SEVERE",17.48,131.1,15
"Bagerhat",89.79,22.65,2075,"SSP2-4.5",14.8,112,"SEVERE",17.02,128.8,15
"Pirojpur",89.98,22.58,2075,"SSP2-4.5",13.6,106,"SEVERE",15.64,121.9,15
"Barguna",90.11,22.16,2075,"SSP2-4.5",13.1,103.5,"SEVERE",15.065,119.025,15
"Patuakhali",90.35,22.35,2075,"SSP2-4.5",12.4,100,"SEVERE",14.26,115,15
"Bhola",90.78,22.19,2075,"SSP2-4.5",11.8,97,"SEVERE",13.57,111.55,15
"Lakshmipur",90.85,22.94,2075,"SSP2-4.5",10.2,89,"SEVERE",11.73,102.35,15
"Noakhali",91.1,22.87,2075,"SSP2-4.5",9.5,85.5,"SEVERE",10.925,98.325,15
"Feni",91.4,23.02,2075,"SSP2-4.5",8.1,78.5,"SEVERE",9.315,90.275,15
"Chittagong",91.8,22.36,2075,"SSP2-4.5",6.8,72,"SEVERE",7.82,82.8,15
"Cox's Bazar",91.98,21.44,2075,"SSP2-4.5",5.4,65,"SEVERE",6.21,74.75,15
"Satkhira",89.07,22.71,2075,"SSP5-8.5",18.5,150.5,"SEVERE",21.275,173.075,15
"Khulna",89.55,22.82,2075,"SSP5-8.5",15.2,134,"SEVERE",17.48,154.1,15
"Bagerhat",89.79,22.65,2075,"SSP5-8.5",14.8,132,"SEVERE",17.02,151.8,15
"Pirojpur",89.98,22.58,2075,"SSP5-8.5",13.6,126,"SEVERE",15.64,144.9,15
"Barguna",90.11,22.16,2075,"SSP5-8.5",13.1,123.5,"SEVERE",15.065,142.025,15
"Patuakhali",90.35,22.35,2075,"SSP5-8.5",12.4,120,"SEVERE",14.26,138,15
"Bhola",90.78,22.19,2075,"SSP5-8.5",11.8,117,"SEVERE",13.57,134.55,15
"Lakshmipur",90.85,22.94,2075,"SSP5-8.5",10.2,109,"SEVERE",11.73,125.35,15
"Noakhali",91.1,22.87,2075,"SSP5-8.5",9.5,105.5,"SEVERE",10.925,121.325,15
"Feni",91.4,23.02,2075,"SSP5-8.5",8.1,98.5,"SEVERE",9.315,113.275,15
"Chittagong",91.8,22.36,2075,"SSP5-8.5",6.8,92,"SEVERE",7.82,105.8,15
"Cox's Bazar",91.98,21.44,2075,"SSP5-8.5",5.4,85,"SEVERE",6.21,97.75,15
"Satkhira",89.07,22.71,2075,"SSP1-2.6",18.5,117.5,"SEVERE",22.2,141,20
"Khulna",89.55,22.82,2075,"SSP1-2.6",15.2,101,"SEVERE",18.24,121.2,20
"Bagerhat",89.79,22.65,2075,"SSP1-2.6",14.8,99,"SEVERE",17.76,118.8,20
"Pirojpur",89.98,22.58,2075,"SSP1-2.6",13.6,93,"SEVERE",16.32,111.6,20
"Barguna",90.11,22.16,2075,"SSP1-2.6",13.1,90.5,"SEVERE",15.72,108.6,20
"Patuakhali",90.35,22.35,2075,"SSP1-2.6",12.4,87,"SEVERE",14.88,104.4,20
"Bhola",90.78,22.19,2075,"SSP1-2.6",11.8,84,"SEVERE",14.16,100.8,20
"Lakshmipur",90.85,22.94,2075,"SSP1-2.6",10.2,76,"SEVERE",12.24,91.2,20
"Noakhali",91.1,22.87,2075,"SSP1-2.6",9.5,72.5,"SEVERE",11.4,87,20
"Feni",91.4,23.02,2075,"SSP1-2.6",8.1,65.5,"SEVERE",9.72,78.6,20
"Chittagong",91.8,22.36,2075,"SSP1-2.6",6.8,59,"HIGH-SEVERE",8.16,70.8,20
"Cox's Bazar",91.98,21.44,2075,"SSP1-2.6",5.4,52,"HIGH-SEVERE",6.48,62.4,20
"Satkhira",89.07,22.71,2075,"SSP2-4.5",18.5,130.5,"SEVERE",22.2,156.6,20
"Khulna",89.55,22.82,2075,"SSP2-4.5",15.2,114,"SEVERE",18.24,136.8,20
"Bagerhat",89.79,22.65,2075,"SSP2-4.5",14.8,112,"SEVERE",17.76,134.4,20
"Pirojpur",89.98,22.58,2075,"SSP2-4.5",13.6,106,"SEVERE",16.32,127.2,20
"Barguna",90.11,22.16,2075,"SSP2-4.5",13.1,103.5,"SEVERE",15.72,124.2,20
"Patuakhali",90.35,22.35,2075,"SSP2-4.5",12.4,100,"SEVERE",14.88,120,20
"Bhola",90.78,22.19,2075,"SSP2-4.5",11.8,97,"SEVERE",14.16,116.4,20
"Lakshmipur",90.85,22.94,2075,"SSP2-4.5",10.2,89,"SEVERE",12.24,106.8,20
"Noakhali",91.1,22.87,2075,"SSP2-4.5",9.5,85.5,"SEVERE",11.4,102.6,20
"Feni",91.4,23.02,2075,"SSP2-4.5",8.1,78.5,"SEVERE",9.72,94.2,20
"Chittagong",91.8,22.36,2075,"SSP2-4.5",6.8,72,"SEVERE",8.16,86.4,20
"Cox's Bazar",91.98,21.44,2075,"SSP2-4.5",5.4,65,"SEVERE",6.48,78,20
"Satkhira",89.07,22.71,2075,"SSP5-8.5",18.5,150.5,"SEVERE",22.2,180.6,20
"Khulna",89.55,22.82,2075,"SSP5-8.5",15.2,134,"SEVERE",18.24,160.8,20
"Bagerhat",89.79,22.65,2075,"SSP5-8.5",14.8,132,"SEVERE",17.76,158.4,20
"Pirojpur",89.98,22.58,2075,"SSP5-8.5",13.6,126,"SEVERE",16.32,151.2,20
"Barguna",90.11,22.16,2075,"SSP5-8.5",13.1,123.5,"SEVERE",15.72,148.2,20
"Patuakhali",90.35,22.35,2075,"SSP5-8.5",12.4,120,"SEVERE",14.88,144,20
"Bhola",90.78,22.19,2075,"SSP5-8.5",11.8,117,"SEVERE",14.16,140.4,20
"Lakshmipur",90.85,22.94,2075,"SSP5-8.5",10.2,109,"SEVERE",12.24,130.8,20
"Noakhali",91.1,22.87,2075,"SSP5-8.5",9.5,105.5,"SEVERE",11.4,126.6,20
"Feni",91.4,23.02,2075,"SSP5-8.5",8.1,98.5,"SEVERE",9.72,118.2,20
"Chittagong",91.8,22.36,2075,"SSP5-8.5",6.8,92,"SEVERE",8.16,110.4,20
"Cox's Bazar",91.98,21.44,2075,"SSP5-8.5",5.4,85,"SEVERE",6.48,102,20
