"station","n_years","std_mk_tau","std_mk_p","mmk_tau","mmk_p","mmk_sen_slope_mm_yr","tfpw_tau","tfpw_p","tfpw_sen_slope_mm_yr","significance_changed"
"Hiron Point",54,-0.636141248226017,0.0000000000118774898668367,-0.63591893780573,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000114401526902591,-6.37142857142857,-0.632801161103048,0.000000000023702241214915,-6.44466476754879,FALSE
"Charchanga",55,0.944781144781145,0.00000000000000000000000248937549049831,0.944781144781145,0.0000000000000000660014197828217,6.74615384615383,0.962264150943396,0.0000000000000000000000010078404889188,6.63330339556484,FALSE
"Cox's Bazar",41,0.604765829236967,0.000000028627855698997,0.603658536585366,0.00000000000000000000000000000000166149887000847,2.8452380952381,0.582051282051282,0.000000130659438435145,2.59168071990388,FALSE
