year,sla_mm
2017,94.13084195187832
2018,55.86998162394494
2019,3.8274012266882536
2020,91.92461699164345
2021,145.37317682317683
2022,122.17182070007556
2023,-11.81345217282717
2024,82.16905889884762
2025,174.70822095599874
